date,The Beatles,The Rolling Stones,Led Zeppelin,Pink Floyd,isPartial
2020-05-31,47,10,35,60,False
2020-06-07,49,10,30,56,False
2020-06-14,47,10,30,55,False
2020-06-21,44,11,30,52,False
2020-06-28,46,11,32,51,False
2020-07-05,49,10,31,51,False
2020-07-12,45,10,32,50,False
2020-07-19,44,11,31,50,False
2020-07-26,42,10,32,57,False
2020-08-02,40,10,30,52,False
2020-08-09,40,9,29,49,False
2020-08-16,42,10,30,47,False
2020-08-23,39,9,27,45,False
2020-08-30,39,10,28,48,False
2020-09-06,41,11,32,52,False
2020-09-13,41,9,30,48,False
2020-09-20,38,9,29,49,False
2020-09-27,37,10,26,45,False
2020-10-04,42,10,33,46,False
2020-10-11,41,9,27,43,False
2020-10-18,38,9,28,42,False
2020-10-25,35,9,26,42,False
2020-11-01,33,8,22,37,False
2020-11-08,38,9,26,41,False
2020-11-15,37,9,26,46,False
2020-11-22,38,9,25,46,False
2020-11-29,38,9,26,43,False
2020-12-06,43,9,27,43,False
2020-12-13,40,9,27,42,False
2020-12-20,47,9,29,48,False
2020-12-27,44,10,31,56,False
2021-01-03,40,8,26,44,False
2021-01-10,42,8,27,44,False
2021-01-17,40,9,27,43,False
2021-01-24,41,9,27,41,False
2021-01-31,38,9,27,43,False
2021-02-07,39,9,26,43,False
2021-02-14,37,9,26,40,False
2021-02-21,39,9,27,42,False
2021-02-28,37,8,25,43,False
2021-03-07,37,8,25,42,False
2021-03-14,40,9,26,42,False
2021-03-21,35,10,27,42,False
2021-03-28,36,9,27,43,False
2021-04-04,37,9,27,42,False
2021-04-11,37,10,25,43,False
2021-04-18,37,9,26,42,False
2021-04-25,36,9,25,43,False
2021-05-02,38,9,25,44,False
2021-05-09,37,9,25,44,False
2021-05-16,36,9,25,44,False
2021-05-23,35,9,25,42,False
2021-05-30,37,10,27,45,False
2021-06-06,34,9,26,42,False
2021-06-13,35,8,24,42,False
2021-06-20,35,8,25,41,False
2021-06-27,33,8,23,39,False
2021-07-04,36,8,25,41,False
2021-07-11,36,9,25,41,False
2021-07-18,39,11,27,42,False
2021-07-25,36,11,26,40,False
2021-08-01,35,10,26,39,False
2021-08-08,34,10,26,41,False
2021-08-15,36,11,26,43,False
2021-08-22,38,56,27,43,False
2021-08-29,35,17,25,42,False
2021-09-05,36,11,29,42,False
2021-09-12,36,11,25,40,False
2021-09-19,33,11,24,39,False
2021-09-26,33,14,24,38,False
2021-10-03,35,12,23,39,False
2021-10-10,44,14,23,40,False
2021-10-17,39,12,25,39,False
2021-10-24,37,12,23,40,False
2021-10-31,36,12,24,42,False
2021-11-07,39,11,30,40,False
2021-11-14,41,11,27,43,False
2021-11-21,89,10,23,40,False
2021-11-28,100,9,25,42,False
2021-12-05,72,8,26,41,False
2021-12-12,57,8,24,42,False
2021-12-19,53,8,25,44,False
2021-12-26,57,10,28,44,False
2022-01-02,53,9,22,42,False
2022-01-09,45,10,26,41,False
2022-01-16,44,9,23,39,False
2022-01-23,47,9,24,47,False
2022-01-30,48,9,24,42,False
2022-02-06,48,9,23,43,False
2022-02-13,45,9,24,42,False
2022-02-20,42,8,23,41,False
2022-02-27,41,8,23,39,False
2022-03-06,42,8,22,42,False
2022-03-13,41,15,24,43,False
2022-03-20,39,10,22,42,False
2022-03-27,41,11,25,42,False
2022-04-03,41,9,27,97,False
2022-04-10,40,10,29,61,False
2022-04-17,40,9,25,47,False
2022-04-24,40,9,24,45,False
2022-05-01,39,9,24,44,False
2022-05-08,39,9,23,45,False
2022-05-15,36,9,23,43,False
2022-05-22,38,10,23,40,False
2022-05-29,36,11,25,41,False
2022-06-05,34,12,25,46,False
2022-06-12,41,12,24,44,False
2022-06-19,44,12,26,44,False
2022-06-26,40,13,27,45,False
