show_num,cidade,pais,data,turne,local
1,Porto Alegre,Brasil,2010-11-07,Up and Coming,Estádio Beira-Rio
2,Rio de Janeiro,Brasil,2011-05-22,Up and Coming,Engenhão
3,Rio de Janeiro,Brasil,2011-05-23,Up and Coming,Engenhão
4,Recife,Brasil,2012-04-21,On the Run,Estádio do Arruda
5,Montevidéu,Uruguai,2014-04-19,Out There,Estadio Centenario
6,Porto Alegre,Brasil,2017-10-13,One on One,Estádio Beira-Rio
7,Curitiba,Brasil,2023-12-13,Got Back,Estádio Couto Pereira
8,Brasília,Brasil,2023-11-30,Got Back,Arena BRB Mané Garrincha
9,São Paulo,Brasil,2024-10-15,Got Back,Allianz Parque
10,São Paulo,Brasil,2024-10-16,Got Back,Allianz Parque
11,Florianópolis,Brasil,2024-10-19,Got Back,Estádio da Ressacada
12,Buenos Aires,Argentina,2019-03-23,Freshen Up,Campo Argentino de Polo
13,Cidade do México,México,2023-11-14,Got Back,Foro Sol
