date,The Beatles,The Rolling Stones,Led Zeppelin,Pink Floyd,isPartial
2023-05-28,33,8,22,50,False
2023-06-04,35,8,22,45,False
2023-06-11,37,8,23,43,False
2023-06-18,37,9,23,43,False
2023-06-25,34,8,21,42,False
2023-07-02,33,9,23,44,False
2023-07-09,32,8,23,45,False
2023-07-16,32,8,22,43,False
2023-07-23,32,10,23,44,False
2023-07-30,34,9,22,44,False
2023-08-06,35,8,23,40,False
2023-08-13,34,8,22,43,False
2023-08-20,32,8,24,43,False
2023-08-27,34,8,22,40,False
2023-09-03,34,21,23,41,False
2023-09-10,33,11,24,39,False
2023-09-17,32,10,22,39,False
2023-09-24,32,10,23,42,False
2023-10-01,33,9,21,42,False
2023-10-08,33,9,21,40,False
2023-10-15,32,19,20,39,False
2023-10-22,43,17,26,43,False
2023-10-29,100,11,20,40,False
2023-11-05,76,10,28,43,False
2023-11-12,55,10,23,45,False
2023-11-19,46,12,22,45,False
2023-11-26,41,12,20,46,False
2023-12-03,42,9,22,46,False
2023-12-10,39,9,21,42,False
2023-12-17,38,10,21,40,False
2023-12-24,40,11,24,44,False
2023-12-31,39,11,23,43,False
2024-01-07,35,9,25,38,False
2024-01-14,36,9,23,41,False
2024-01-21,38,9,21,40,False
2024-01-28,39,10,24,41,False
2024-02-04,44,10,22,43,False
2024-02-11,38,10,21,39,False
2024-02-18,41,9,22,44,False
2024-02-25,40,9,23,42,False
