geo,label,country,is_treated,event_date,date,interest
BR-DF,Brasilia,BR,True,2023-11-30,2023-07-30,4
BR-DF,Brasilia,BR,True,2023-11-30,2023-08-06,42
BR-DF,Brasilia,BR,True,2023-11-30,2023-08-13,14
BR-DF,Brasilia,BR,True,2023-11-30,2023-08-20,7
BR-DF,Brasilia,BR,True,2023-11-30,2023-08-27,5
BR-DF,Brasilia,BR,True,2023-11-30,2023-09-03,5
BR-DF,Brasilia,BR,True,2023-11-30,2023-09-10,3
BR-DF,Brasilia,BR,True,2023-11-30,2023-09-17,5
BR-DF,Brasilia,BR,True,2023-11-30,2023-09-24,4
BR-DF,Brasilia,BR,True,2023-11-30,2023-10-01,3
BR-DF,Brasilia,BR,True,2023-11-30,2023-10-08,4
BR-DF,Brasilia,BR,True,2023-11-30,2023-10-15,4
BR-DF,Brasilia,BR,True,2023-11-30,2023-10-22,9
BR-DF,Brasilia,BR,True,2023-11-30,2023-10-29,6
BR-DF,Brasilia,BR,True,2023-11-30,2023-11-05,12
BR-DF,Brasilia,BR,True,2023-11-30,2023-11-12,11
BR-DF,Brasilia,BR,True,2023-11-30,2023-11-19,11
BR-DF,Brasilia,BR,True,2023-11-30,2023-11-26,100
BR-DF,Brasilia,BR,True,2023-11-30,2023-12-03,12
BR-DF,Brasilia,BR,True,2023-11-30,2023-12-10,8
BR-DF,Brasilia,BR,True,2023-11-30,2023-12-17,15
BR-DF,Brasilia,BR,True,2023-11-30,2023-12-24,4
BR-DF,Brasilia,BR,True,2023-11-30,2023-12-31,2
BR-DF,Brasilia,BR,True,2023-11-30,2024-01-07,2
BR-DF,Brasilia,BR,True,2023-11-30,2024-01-14,2
BR-DF,Brasilia,BR,True,2023-11-30,2024-01-21,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-01-28,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-02-04,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-02-11,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-02-18,1
BR-DF,Brasilia,BR,True,2023-11-30,2024-02-25,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-03-03,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-03-10,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-03-17,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-03-24,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-03-31,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-04-07,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-04-14,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-04-21,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-04-28,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-05-05,2
BR-DF,Brasilia,BR,True,2023-11-30,2024-05-12,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-05-19,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-05-26,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-06-02,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-06-09,2
BR-DF,Brasilia,BR,True,2023-11-30,2024-06-16,2
BR-DF,Brasilia,BR,True,2023-11-30,2024-06-23,2
BR-DF,Brasilia,BR,True,2023-11-30,2024-06-30,1
BR-DF,Brasilia,BR,True,2023-11-30,2024-07-07,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-07-14,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-07-21,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-07-28,1
BR-DF,Brasilia,BR,True,2023-11-30,2024-08-04,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-08-11,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-08-18,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-08-25,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-09-01,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-09-08,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-09-15,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-09-22,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-09-29,2
BR-DF,Brasilia,BR,True,2023-11-30,2024-10-06,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-10-13,2
BR-DF,Brasilia,BR,True,2023-11-30,2024-10-20,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-10-27,1
BR-DF,Brasilia,BR,True,2023-11-30,2024-11-03,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-11-10,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-11-17,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-11-24,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-12-01,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-12-08,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-12-15,0
BR-DF,Brasilia,BR,True,2023-11-30,2024-12-22,2
BR-DF,Brasilia,BR,True,2023-11-30,2024-12-29,0
BR-DF,Brasilia,BR,True,2023-11-30,2025-01-05,0
BR-DF,Brasilia,BR,True,2023-11-30,2025-01-12,0
BR-DF,Brasilia,BR,True,2023-11-30,2025-01-19,0
BR-DF,Brasilia,BR,True,2023-11-30,2025-01-26,0
BR-MG,Belo Horizonte,BR,True,2023-12-03,2023-07-30,5
BR-MG,Belo Horizonte,BR,True,2023-12-03,2023-08-06,59
BR-MG,Belo Horizonte,BR,True,2023-12-03,2023-08-13,18
BR-MG,Belo Horizonte,BR,True,2023-12-03,2023-08-20,8
BR-MG,Belo Horizonte,BR,True,2023-12-03,2023-08-27,7
BR-MG,Belo Horizonte,BR,True,2023-12-03,2023-09-03,7
BR-MG,Belo Horizonte,BR,True,2023-12-03,2023-09-10,5
BR-MG,Belo Horizonte,BR,True,2023-12-03,2023-09-17,3
