musica,mean,min,max,range,cluster
A Day in the Life,0.4617127244800223,0.0465116279069767,0.7368421052631579,0.6903304773561811,4
All My Loving,0.09503971260937202,0.075,0.15,0.075,1
And I Love Her,0.3690584699098631,0.35,0.3947368421052631,0.04473684210526313,2
Back in the U.S.S.R.,0.6868029545274128,0.6176470588235294,0.7692307692307693,0.15158371040723984,3
Band on the Run,0.6699065016476773,0.5588235294117647,0.7435897435897436,0.1847662141779789,3
Being for the Benefit of Mr. Kite!,0.6279819258879572,0.6111111111111112,0.6666666666666666,0.05555555555555547,3
Birthday,0.8582204078942594,0.8205128205128205,0.9230769230769232,0.10256410256410275,3
Blackbird,0.4348250206860662,0.375,0.5128205128205128,0.13782051282051277,2
Can't Buy Me Love,0.05421263523220412,0.027027027027027,0.0769230769230769,0.0498960498960499,1
Carry That Weight,0.9572767373492065,0.9230769230769232,0.975,0.05192307692307674,3
Come On to Me,0.18072774675156975,0.1621621621621621,0.2,0.03783783783783792,1
Dance Tonight,0.4420716060901094,0.4146341463414634,0.4736842105263157,0.05905006418485231,2
Day Tripper,0.8334869593770522,0.8181818181818182,0.85,0.031818181818181746,3
Eleanor Rigby,0.5422792120160541,0.5,0.6153846153846154,0.11538461538461542,3
Get Back,0.7875100337496574,0.7209302325581395,0.8947368421052632,0.17380660954712368,3
Getting Better,0.23175146218254553,0.2162162162162162,0.25,0.0337837837837838,1
Golden Slumbers,0.9317718670075598,0.8974358974358975,0.95,0.05256410256410249,3
Got to Get You Into My Life,0.1498301566047931,0.1282051282051282,0.175,0.046794871794871795,1
Helter Skelter,0.9126898286194547,0.8717948717948718,0.9473684210526316,0.07557354925775983,3
Here Today,0.4610618889859943,0.4,0.5384615384615384,0.1384615384615384,2
Hey Jude,0.81931964291932,0.7894736842105263,1.0,0.21052631578947367,3
I've Got a Feeling,0.6713996587758548,0.1794871794871795,0.8378378378378378,0.6583506583506583,4
I've Just Seen a Face,0.34523721202958935,0.275,0.375,0.09999999999999998,2
In Spite of All the Danger,0.37469020517091983,0.3076923076923077,0.4,0.09230769230769231,2
Jet,0.36350358247066533,0.0588235294117647,0.6097560975609756,0.5509325681492109,2
Junior's Farm,0.0701110309602612,0.0512820512820512,0.1,0.04871794871794881,1
Lady Madonna,0.6353959081451089,0.475,0.868421052631579,0.393421052631579,2
Let 'Em In,0.2685991526465915,0.2432432432432432,0.303030303030303,0.05978705978705978,2
Let It Be,0.7549240618130288,0.7352941176470589,0.7948717948717948,0.05957767722473595,3
Let Me Roll It,0.19700680508078736,0.125,0.225,0.1,1
Letting Go,0.10889384094974057,0.081081081081081,0.131578947368421,0.05049786628733999,1
Live and Let Die,0.7929952496395841,0.7631578947368421,0.9743589743589745,0.2112010796221323,3
Love Me Do,0.4129773322342806,0.358974358974359,0.4871794871794871,0.12820512820512814,2
Maybe I'm Amazed,0.31821610766396863,0.25,0.35,0.09999999999999998,2
My Valentine,0.2673379459280435,0.175,0.3157894736842105,0.14078947368421052,2
New,0.5070843470712303,0.425,0.55,0.12500000000000006,2
Nineteen Hundred and Eighty-Five,0.2827990487358916,0.2,0.325,0.125,2
"Ob-La-Di, Ob-La-Da",0.6609536908794849,0.5882352941176471,0.717948717948718,0.12971342383107087,3
Paperback Writer,0.4941617412515245,0.15,0.7105263157894737,0.5605263157894737,4
Sgt. Pepper's Lonely Hearts Club Band (Reprise),0.900110255546707,0.8461538461538461,0.9736842105263158,0.12753036437246967,3
Something,0.6200538242299665,0.5294117647058824,0.6923076923076923,0.16289592760180993,3
The End,0.986755082839118,0.9487179487179488,1.0,0.05128205128205121,3
The Long and Winding Road,0.24054367201426025,0.225,0.2631578947368421,0.038157894736842085,2
Yesterday,0.8971331558018864,0.8461538461538461,0.9210526315789472,0.07489878542510109,3
