musica,catalogo
A Day in the Life,Beatles
A Hard Day's Night,Beatles
Ain't No Sunshine,Solo/covers
All My Loving,Solo/covers
All Together Now,Beatles
And I Love Her,Beatles
Another Day,Solo/covers
Back in the U.S.S.R.,Beatles
Band on the Run,Wings
Being for the Benefit of Mr. Kite!,Beatles
Beware My Love,Wings
Biker Like an Icon,Solo/covers
Birthday,Beatles
Blackbird,Beatles
Bluebird,Wings
C Moon,Wings
C'mon People,Solo/covers
Calico Skies,Solo/covers
Call Me Back Again,Wings
Can't Buy Me Love,Beatles
Carry That Weight,Beatles
Come On to Me,Solo/covers
Coming Up,Solo/covers
Coming Up (04 Summer Tour Remix),Solo/covers
Dance Tonight,Solo/covers
Day Tripper,Beatles
Drive My Car,Beatles
Driving Rain,Solo/covers
Ebony and Ivory,Solo/covers
Eight Days a Week,Beatles
Eleanor Rigby,Beatles
English Tea,Solo/covers
Every Night,Solo/covers
Everybody Out There,Solo/covers
Figure of Eight,Solo/covers
Fine Line,Solo/covers
Fixing a Hole,Beatles
Flaming Pie,Solo/covers
Follow Me,Solo/covers
For No One,Beatles
FourFiveSeconds,Solo/covers
Freedom,Solo/covers
From Me to You,Beatles
Fuh You,Solo/covers
Get Back,Beatles
Getting Better,Beatles
Golden Slumbers,Beatles
Good Day Sunshine,Beatles
Good Rocking Tonight,Solo/covers
Got to Get You Into My Life,Beatles
Happy Birthday to You,Solo/covers
"Hello, Goodbye",Beatles
Helter Skelter,Beatles
Here Today,Solo/covers
"Here, There and Everywhere",Beatles
Hey Jude,Beatles
"Hi, Hi, Hi",Wings
Highway,Solo/covers
Hope of Deliverance,Solo/covers
I Lost My Little Girl,Solo/covers
I Saw Her Standing There,Beatles
I Wanna Be Your Man,Beatles
I Will,Beatles
I'll Follow the Sun,Beatles
I'll Get You,Solo/covers
I'm Down,Beatles
I've Got a Feeling,Beatles
I've Just Seen a Face,Beatles
In Spite of All the Danger,Beatles
Jenny Wren,Solo/covers
Jet,Wings
Junior's Farm,Wings
Lady Madonna,Beatles
Let 'Em In,Wings
Let It Be,Beatles
Let Me Roll It,Wings
Letting Go,Wings
Listen to What the Man Said,Wings
Live and Let Die,Wings
Lonely Road,Solo/covers
Looking for Changes,Solo/covers
Love Me Do,Beatles
Lovely Rita,Beatles
Magical Mystery Tour,Beatles
Magneto and Titanium Man,Wings
Maybe I'm Amazed,Solo/covers
Medicine Jar,Wings
Michelle,Beatles
Mother Nature's Son,Beatles
Mrs. Vandebilt,Wings
My Brave Face,Solo/covers
My Love,Wings
My Valentine,Solo/covers
New,Solo/covers
Nineteen Hundred and Eighty-Five,Solo/covers
No More Lonely Nights,Solo/covers
Now and Then,Beatles
"Ob-La-Di, Ob-La-Da",Beatles
Off the Ground,Solo/covers
One After 909,Beatles
Only Mama Knows,Solo/covers
Paperback Writer,Beatles
Peace in the Neighbourhood,Solo/covers
Penny Lane,Beatles
Picasso's Last Words (Drink to Me),Wings
Please Please Me,Beatles
Put It There,Solo/covers
Queenie Eye,Solo/covers
Ram On,Solo/covers
Richard Cory,Solo/covers
Robbie's Bit (Thanks Chet),Solo/covers
Rock Show,Wings
Rough Ride,Solo/covers
Save Us,Solo/covers
Sgt. Pepper's Lonely Hearts Club Band,Beatles
Sgt. Pepper's Lonely Hearts Club Band (Reprise),Beatles
She Came in Through the Bathroom Window,Beatles
She's Leaving Home,Beatles
She's a Woman,Beatles
Silly Love Songs,Wings
Sing the Changes,Solo/covers
Soily,Wings
Something,Beatles
Spirits of Ancient Egypt,Wings
The End,Beatles
The Fool on the Hill,Beatles
The Long and Winding Road,Beatles
Things We Said Today,Beatles
This One,Solo/covers
Till There Was You,Beatles
Time to Hide,Wings
Too Many People,Solo/covers
Twenty Flight Rock,Solo/covers
Vanilla Sky,Solo/covers
Venus and Mars,Wings
We Can Work It Out,Beatles
We Got Married,Solo/covers
Who Cares,Solo/covers
Yesterday,Beatles
You Gave Me the Answer,Wings
You Never Give Me Your Money,Beatles
You Won't See Me,Beatles
Your Loving Flame,Solo/covers
