turne,ano,total_musicas,hhi,share_Beatles,share_Wings,share_Solo/covers
Wings Over America,1976,29,6099.881093935791,0.1724137931034483,0.7586206896551724,0.06896551724137931
The Paul McCartney World Tour,1989,28,4591.836734693878,0.5714285714285714,0.07142857142857142,0.35714285714285715
New World Tour,1993,33,3847.5665748393017,0.45454545454545453,0.15151515151515152,0.3939393939393939
Driving USA Tour,2002,36,4135.802469135803,0.5555555555555556,0.16666666666666666,0.2777777777777778
Back in the World Tour,2003,37,4390.065741417094,0.5945945945945946,0.16216216216216217,0.24324324324324326
US Tour 2005,2005,37,5149.7443389335285,0.6756756756756757,0.10810810810810811,0.21621621621621623
Summer Live '09,2009,33,4453.627180899908,0.6060606060606061,0.18181818181818182,0.21212121212121213
Up and Coming,2010,38,4085.872576177286,0.5526315789473685,0.2631578947368421,0.18421052631578946
Out There,2014,40,4687.5,0.625,0.125,0.25
One on One,2017,39,5279.421433267587,0.6923076923076923,0.1282051282051282,0.1794871794871795
Freshen Up,2019,39,4214.332675871137,0.5641025641025641,0.15384615384615385,0.28205128205128205
Got Back,2024,49,4518.950437317784,0.6122448979591837,0.16326530612244897,0.22448979591836735
