show_num,musica,pos,total,pos_norm
1,Jet,3,38,0.07894736842105263
1,All My Loving,4,38,0.10526315789473684
1,Letting Go,5,38,0.13157894736842105
1,Let Me Roll It,8,38,0.21052631578947367
1,The Long and Winding Road,9,38,0.23684210526315788
1,Nineteen Hundred and Eighty-Five,10,38,0.2631578947368421
1,Let 'Em In,11,38,0.2894736842105263
1,I've Just Seen a Face,13,38,0.34210526315789475
1,And I Love Her,14,38,0.3684210526315789
1,Blackbird,15,38,0.39473684210526316
1,Here Today,16,38,0.42105263157894735
1,Dance Tonight,17,38,0.4473684210526316
1,Eleanor Rigby,19,38,0.5
1,Something,21,38,0.5526315789473685
1,Band on the Run,23,38,0.6052631578947368
1,"Ob-La-Di, Ob-La-Da",24,38,0.631578947368421
1,Back in the U.S.S.R.,25,38,0.6578947368421053
1,I've Got a Feeling,26,38,0.6842105263157895
1,Paperback Writer,27,38,0.7105263157894737
1,A Day in the Life,28,38,0.7368421052631579
1,Let It Be,29,38,0.7631578947368421
1,Live and Let Die,30,38,0.7894736842105263
1,Hey Jude,31,38,0.8157894736842105
1,Day Tripper,32,38,0.8421052631578947
1,Lady Madonna,33,38,0.868421052631579
1,Get Back,34,38,0.8947368421052632
1,Yesterday,35,38,0.9210526315789473
1,Helter Skelter,36,38,0.9473684210526315
1,Sgt. Pepper's Lonely Hearts Club Band (Reprise),37,38,0.9736842105263158
1,The End,38,38,1.0
2,Jet,2,34,0.058823529411764705
2,All My Loving,3,34,0.08823529411764706
2,Letting Go,4,34,0.11764705882352941
2,Let Me Roll It,7,34,0.20588235294117646
2,The Long and Winding Road,8,34,0.23529411764705882
2,Nineteen Hundred and Eighty-Five,9,34,0.2647058823529412
2,Let 'Em In,10,34,0.29411764705882354
2,I've Just Seen a Face,11,34,0.3235294117647059
2,And I Love Her,12,34,0.35294117647058826
2,Blackbird,13,34,0.38235294117647056
2,Here Today,14,34,0.4117647058823529
2,Dance Tonight,15,34,0.4411764705882353
2,Eleanor Rigby,17,34,0.5
2,Something,18,34,0.5294117647058824
2,Band on the Run,19,34,0.5588235294117647
2,"Ob-La-Di, Ob-La-Da",20,34,0.5882352941176471
2,Back in the U.S.S.R.,21,34,0.6176470588235294
2,I've Got a Feeling,22,34,0.6470588235294118
2,Paperback Writer,23,34,0.6764705882352942
2,A Day in the Life,24,34,0.7058823529411765
2,Let It Be,25,34,0.7352941176470589
2,Live and Let Die,26,34,0.7647058823529411
2,Hey Jude,27,34,0.7941176470588235
2,Day Tripper,28,34,0.8235294117647058
2,Lady Madonna,29,34,0.8529411764705882
2,Get Back,30,34,0.8823529411764706
2,Yesterday,31,34,0.9117647058823529
2,Helter Skelter,32,34,0.9411764705882353
2,Sgt. Pepper's Lonely Hearts Club Band (Reprise),33,34,0.9705882352941176
2,The End,34,34,1.0
3,Jet,2,33,0.06060606060606061
3,All My Loving,3,33,0.09090909090909091
3,Got to Get You Into My Life,5,33,0.15151515151515152
3,Let Me Roll It,7,33,0.21212121212121213
3,The Long and Winding Road,8,33,0.24242424242424243
3,Nineteen Hundred and Eighty-Five,9,33,0.2727272727272727
3,Let 'Em In,10,33,0.30303030303030304
3,And I Love Her,12,33,0.36363636363636365
3,Blackbird,13,33,0.3939393939393939
3,Here Today,14,33,0.42424242424242425
3,Dance Tonight,15,33,0.45454545454545453
3,Eleanor Rigby,17,33,0.5151515151515151
3,Something,18,33,0.5454545454545454
3,Band on the Run,19,33,0.5757575757575758
3,"Ob-La-Di, Ob-La-Da",20,33,0.6060606060606061
3,Back in the U.S.S.R.,21,33,0.6363636363636364
3,I've Got a Feeling,22,33,0.6666666666666666
3,Paperback Writer,23,33,0.696969696969697
3,A Day in the Life,24,33,0.7272727272727273
3,Let It Be,25,33,0.7575757575757576
3,Live and Let Die,26,33,0.7878787878787878
3,Day Tripper,27,33,0.8181818181818182
3,Lady Madonna,28,33,0.8484848484848485
3,Yesterday,30,33,0.9090909090909091
3,Helter Skelter,31,33,0.9393939393939394
3,Sgt. Pepper's Lonely Hearts Club Band (Reprise),32,33,0.9696969696969697
3,The End,33,33,1.0
4,Junior's Farm,2,38,0.05263157894736842
4,All My Loving,3,38,0.07894736842105263
4,Jet,4,38,0.10526315789473684
4,Got to Get You Into My Life,5,38,0.13157894736842105
4,Let Me Roll It,8,38,0.21052631578947367
4,Paperback Writer,9,38,0.23684210526315788
4,The Long and Winding Road,10,38,0.2631578947368421
4,Nineteen Hundred and Eighty-Five,11,38,0.2894736842105263
4,My Valentine,12,38,0.3157894736842105
4,Maybe I'm Amazed,13,38,0.34210526315789475
4,And I Love Her,15,38,0.39473684210526316
4,Blackbird,16,38,0.42105263157894735
4,Here Today,17,38,0.4473684210526316
4,Dance Tonight,18,38,0.47368421052631576
4,Eleanor Rigby,20,38,0.5263157894736842
4,Something,21,38,0.5526315789473685
4,Band on the Run,23,38,0.6052631578947368
4,"Ob-La-Di, Ob-La-Da",24,38,0.631578947368421
4,Back in the U.S.S.R.,25,38,0.6578947368421053
4,I've Got a Feeling,26,38,0.6842105263157895
4,A Day in the Life,27,38,0.7105263157894737
4,Let It Be,28,38,0.7368421052631579
4,Live and Let Die,29,38,0.7631578947368421
4,Hey Jude,30,38,0.7894736842105263
4,Lady Madonna,31,38,0.8157894736842105
4,Day Tripper,32,38,0.8421052631578947
4,Get Back,33,38,0.868421052631579
4,Yesterday,34,38,0.8947368421052632
4,Helter Skelter,35,38,0.9210526315789473
4,Golden Slumbers,36,38,0.9473684210526315
4,Carry That Weight,37,38,0.9736842105263158
4,The End,38,38,1.0
5,All My Loving,3,40,0.075
5,Let Me Roll It,5,40,0.125
5,Paperback Writer,6,40,0.15
5,My Valentine,7,40,0.175
5,Nineteen Hundred and Eighty-Five,8,40,0.2
5,The Long and Winding Road,9,40,0.225
5,Maybe I'm Amazed,10,40,0.25
5,I've Just Seen a Face,11,40,0.275
5,And I Love Her,14,40,0.35
5,Blackbird,15,40,0.375
5,Here Today,16,40,0.4
5,New,17,40,0.425
5,Lady Madonna,19,40,0.475
5,Eleanor Rigby,23,40,0.575
5,Being for the Benefit of Mr. Kite!,25,40,0.625
5,Something,26,40,0.65
5,"Ob-La-Di, Ob-La-Da",27,40,0.675
5,Band on the Run,28,40,0.7
5,Back in the U.S.S.R.,29,40,0.725
5,Let It Be,30,40,0.75
5,Live and Let Die,31,40,0.775
5,Hey Jude,32,40,0.8
5,Day Tripper,33,40,0.825
5,Get Back,35,40,0.875
5,Yesterday,36,40,0.9
5,Helter Skelter,37,40,0.925
5,Golden Slumbers,38,40,0.95
5,Carry That Weight,39,40,0.975
5,The End,40,40,1.0
6,Junior's Farm,2,39,0.05128205128205128
6,Can't Buy Me Love,3,39,0.07692307692307693
6,Jet,4,39,0.10256410256410256
6,Got to Get You Into My Life,5,39,0.1282051282051282
6,Let Me Roll It,6,39,0.15384615384615385
6,I've Got a Feeling,7,39,0.1794871794871795
6,My Valentine,8,39,0.20512820512820512
6,Nineteen Hundred and Eighty-Five,9,39,0.23076923076923078
6,Maybe I'm Amazed,10,39,0.2564102564102564
6,In Spite of All the Danger,12,39,0.3076923076923077
6,Love Me Do,14,39,0.358974358974359
6,And I Love Her,15,39,0.38461538461538464
6,Blackbird,16,39,0.41025641025641024
6,Here Today,17,39,0.4358974358974359
6,New,19,39,0.48717948717948717
6,Lady Madonna,20,39,0.5128205128205128
6,Eleanor Rigby,22,39,0.5641025641025641
6,Being for the Benefit of Mr. Kite!,24,39,0.6153846153846154
6,Something,25,39,0.6410256410256411
6,A Day in the Life,26,39,0.6666666666666666
6,"Ob-La-Di, Ob-La-Da",27,39,0.6923076923076923
6,Band on the Run,28,39,0.717948717948718
6,Back in the U.S.S.R.,29,39,0.7435897435897436
6,Let It Be,30,39,0.7692307692307693
6,Live and Let Die,31,39,0.7948717948717948
6,Hey Jude,32,39,0.8205128205128205
6,Yesterday,33,39,0.8461538461538461
6,Sgt. Pepper's Lonely Hearts Club Band (Reprise),34,39,0.8717948717948718
6,Helter Skelter,35,39,0.8974358974358975
6,Birthday,36,39,0.9230769230769231
6,Golden Slumbers,37,39,0.9487179487179487
6,Carry That Weight,38,39,0.9743589743589743
6,The End,39,39,1.0
7,Can't Buy Me Love,1,36,0.027777777777777776
7,Junior's Farm,2,36,0.05555555555555555
7,Letting Go,3,36,0.08333333333333333
7,Got to Get You Into My Life,5,36,0.1388888888888889
7,Come On to Me,6,36,0.16666666666666666
7,Let Me Roll It,7,36,0.19444444444444445
7,Getting Better,8,36,0.2222222222222222
7,Let 'Em In,9,36,0.25
7,My Valentine,10,36,0.2777777777777778
7,Nineteen Hundred and Eighty-Five,11,36,0.3055555555555556
7,Maybe I'm Amazed,12,36,0.3333333333333333
7,I've Just Seen a Face,13,36,0.3611111111111111
7,In Spite of All the Danger,14,36,0.3888888888888889
7,Love Me Do,15,36,0.4166666666666667
7,Dance Tonight,16,36,0.4444444444444444
7,Blackbird,17,36,0.4722222222222222
7,Here Today,18,36,0.5
7,New,19,36,0.5277777777777778
7,Lady Madonna,20,36,0.5555555555555556
7,Jet,21,36,0.5833333333333334
7,Being for the Benefit of Mr. Kite!,22,36,0.6111111111111112
7,Something,23,36,0.6388888888888888
7,"Ob-La-Di, Ob-La-Da",24,36,0.6666666666666666
7,Band on the Run,25,36,0.6944444444444444
7,Get Back,26,36,0.7222222222222222
7,Let It Be,27,36,0.75
7,Live and Let Die,28,36,0.7777777777777778
7,Hey Jude,29,36,0.8055555555555556
7,I've Got a Feeling,30,36,0.8333333333333334
7,Sgt. Pepper's Lonely Hearts Club Band (Reprise),32,36,0.8888888888888888
7,Helter Skelter,33,36,0.9166666666666666
7,Golden Slumbers,34,36,0.9444444444444444
