musica,first,last,n_eras,censored,span,grupo,duration,event
A Day in the Life,7,12,4,True,6,Beatles,6,0
A Hard Day's Night,10,12,3,True,3,Beatles,3,0
Ain't No Sunshine,3,3,1,False,1,Wings/solo,1,1
All My Loving,3,12,7,True,10,Wings/solo,10,0
All Together Now,9,9,1,False,1,Beatles,1,1
And I Love Her,8,10,3,False,3,Beatles,3,1
Another Day,3,9,2,False,7,Wings/solo,7,1
Back in the U.S.S.R.,2,11,10,False,10,Beatles,10,1
Band on the Run,1,12,12,True,12,Wings/solo,12,0
Being for the Benefit of Mr. Kite!,9,12,4,True,4,Beatles,4,0
Beware My Love,1,1,1,False,1,Wings/solo,1,1
Biker Like an Icon,3,3,1,False,1,Wings/solo,1,1
Birthday,5,12,4,True,8,Beatles,8,0
Blackbird,1,12,10,True,12,Beatles,12,0
Bluebird,1,1,1,False,1,Wings/solo,1,1
C Moon,4,4,1,False,1,Wings/solo,1,1
C'mon People,3,3,1,False,1,Wings/solo,1,1
Calico Skies,5,7,2,False,3,Wings/solo,3,1
Call Me Back Again,1,1,1,False,1,Wings/solo,1,1
Can't Buy Me Love,2,12,6,True,11,Beatles,11,0
Carry That Weight,2,12,5,True,11,Beatles,11,0
Come On to Me,11,12,2,True,2,Wings/solo,2,0
Coming Up,2,5,4,False,4,Wings/solo,4,1
Coming Up (04 Summer Tour Remix),12,12,1,True,1,Wings/solo,1,0
Dance Tonight,7,12,4,True,6,Wings/solo,6,0
Day Tripper,7,12,4,True,6,Beatles,6,0
Drive My Car,3,12,5,True,10,Beatles,10,0
Driving Rain,4,5,2,False,2,Wings/solo,2,1
Ebony and Ivory,2,2,1,False,1,Wings/solo,1,1
Eight Days a Week,9,9,1,False,1,Beatles,1,1
Eleanor Rigby,2,11,9,False,10,Beatles,10,1
English Tea,6,6,1,False,1,Wings/solo,1,1
Every Night,4,5,2,False,2,Wings/solo,2,1
Everybody Out There,9,9,1,False,1,Wings/solo,1,1
Figure of Eight,2,2,1,False,1,Wings/solo,1,1
Fine Line,6,6,1,False,1,Wings/solo,1,1
Fixing a Hole,6,6,1,False,1,Beatles,1,1
Flaming Pie,6,7,2,False,2,Wings/solo,2,1
Follow Me,6,6,1,False,1,Wings/solo,1,1
For No One,6,6,1,False,1,Beatles,1,1
FourFiveSeconds,10,10,1,False,1,Wings/solo,1,1
Freedom,4,4,1,False,1,Wings/solo,1,1
From Me to You,11,11,1,False,1,Beatles,1,1
Fuh You,11,12,2,True,2,Wings/solo,2,0
Get Back,2,12,6,True,11,Beatles,11,0
Getting Better,4,12,3,True,9,Beatles,9,0
Golden Slumbers,2,12,5,True,11,Beatles,11,0
Good Day Sunshine,2,6,2,False,5,Beatles,5,1
Good Rocking Tonight,3,3,1,False,1,Wings/solo,1,1
Got to Get You Into My Life,2,12,6,True,11,Beatles,11,0
Happy Birthday to You,11,11,1,False,1,Wings/solo,1,1
"Hello, Goodbye",4,5,2,False,2,Beatles,2,1
Helter Skelter,6,12,7,True,7,Beatles,7,0
Here Today,4,12,8,True,9,Wings/solo,9,0
"Here, There and Everywhere",3,5,3,False,3,Beatles,3,1
Hey Jude,3,12,9,True,10,Beatles,10,0
"Hi, Hi, Hi",1,9,2,False,9,Wings/solo,9,1
Highway,7,8,2,False,2,Wings/solo,2,1
Hope of Deliverance,3,3,1,False,1,Wings/solo,1,1
I Lost My Little Girl,3,3,1,False,1,Wings/solo,1,1
I Saw Her Standing There,2,12,6,True,11,Beatles,11,0
