turne,ano,cidade_fonte,data_show_fonte,musica,fonte_url
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Venus and Mars,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Rock Show,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Jet,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Let Me Roll It,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Spirits of Ancient Egypt,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Medicine Jar,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Maybe I'm Amazed,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Call Me Back Again,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Lady Madonna,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,The Long and Winding Road,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Live and Let Die,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Picasso's Last Words (Drink to Me),https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Richard Cory,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Bluebird,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,I've Just Seen a Face,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Blackbird,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Yesterday,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,You Gave Me the Answer,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
Wings Over America,1976,Nova York (Madison Square Garden),1976-05-25,Magneto and Titanium Man,https://www.setlist.fm/setlist/wings/1976/madison-square-garden-new-york-ny-3bd7a02c.html
