date,Queen,Rolling Stones,Led Zeppelin,Pink Floyd,Eagles
2015-12-27,57,45,74,100,19
2016-01-03,53,35,62,80,12
2016-01-10,55,52,66,93,10
2016-01-17,54,36,59,87,29
2016-01-24,50,39,60,81,11
2016-01-31,51,66,61,84,11
2016-02-07,54,70,63,84,9
2016-02-14,51,71,66,79,13
2016-02-21,52,69,64,84,9
2016-02-28,51,67,59,83,8
2016-03-06,52,66,60,90,12
2016-03-13,56,51,59,86,10
2016-03-20,52,73,65,81,10
2016-03-27,56,51,65,84,9
2016-04-03,52,44,61,84,8
2016-04-10,55,34,92,82,9
2016-04-17,77,36,67,82,11
2016-04-24,59,34,63,82,12
2016-05-01,58,40,65,82,9
2016-05-08,57,35,62,80,8
2016-05-15,59,31,62,77,9
2016-05-22,57,30,60,82,8
2016-05-29,58,32,63,79,7
2016-06-05,64,30,62,80,7
2016-06-12,59,29,84,72,6
2016-06-19,61,28,100,77,6
2016-06-26,58,29,62,76,6
2016-07-03,56,28,57,85,6
2016-07-10,55,29,53,78,6
2016-07-17,56,29,60,80,6
2016-07-24,55,30,57,88,7
2016-07-31,52,30,53,80,7
2016-08-07,52,27,51,70,11
2016-08-14,49,26,52,68,10
2016-08-21,53,28,54,73,10
2016-08-28,60,29,52,81,14
2016-09-04,62,29,55,78,13
2016-09-11,56,31,58,80,19
2016-09-18,57,36,57,77,24
2016-09-25,58,31,56,93,23
2016-10-02,59,46,54,94,14
2016-10-09,60,43,54,91,17
2016-10-16,54,38,57,90,16
2016-10-23,55,32,53,83,17
2016-10-30,60,31,52,82,23
2016-11-06,68,33,47,82,14
2016-11-13,62,36,50,90,14
2016-11-20,62,34,53,81,13
2016-11-27,57,60,50,76,16
2016-12-04,55,60,52,78,12
2016-12-11,55,44,53,82,12
2016-12-18,53,39,53,74,20
2016-12-25,68,57,64,84,10
2017-01-01,67,44,57,77,14
2017-01-08,61,35,62,75,8
2017-01-15,68,33,55,75,7
2017-01-22,59,36,51,83,7
2017-01-29,62,30,50,84,8
2017-02-05,60,31,53,77,8
2017-02-12,57,31,52,76,8
2017-02-19,55,29,52,82,8
2017-02-26,59,29,51,79,9
2017-03-05,58,29,50,82,12
2017-03-12,56,29,50,80,10
2017-03-19,63,30,51,84,8
2017-03-26,56,27,53,80,9
2017-04-02,55,27,49,79,9
2017-04-09,59,29,71,81,8
2017-04-16,60,31,58,78,8
2017-04-23,57,30,53,78,12
2017-04-30,66,32,62,80,10
2017-05-07,57,100,60,89,9
2017-05-14,57,56,61,82,9
2017-05-21,60,36,52,81,8
2017-05-28,59,33,51,83,8
2017-06-04,63,33,49,84,7
2017-06-11,64,32,50,83,7
2017-06-18,67,31,52,80,7
2017-06-25,69,31,49,84,6
2017-07-02,68,31,52,82,7
2017-07-09,65,33,52,83,7
2017-07-16,69,33,53,84,7
2017-07-23,67,36,53,83,8
2017-07-30,70,30,53,86,9
2017-08-06,66,33,52,81,12
2017-08-13,66,31,52,81,12
2017-08-20,59,31,50,86,11
2017-08-27,61,35,47,76,11
2017-09-03,61,54,50,88,12
2017-09-10,58,72,50,94,17
2017-09-17,58,64,48,85,15
2017-09-24,57,61,51,81,19
2017-10-01,58,42,49,82,17
2017-10-08,58,46,52,86,28
2017-10-15,56,45,59,85,13
2017-10-22,57,36,56,78,26
2017-10-29,57,29,72,77,22
2017-11-05,57,28,72,77,23
2017-11-12,55,30,67,79,15
2017-11-19,55,27,57,80,29
2017-11-26,59,27,56,82,23
2017-12-03,60,29,56,78,28
2017-12-10,69,27,52,77,28
2017-12-17,68,27,56,81,21
2017-12-24,77,33,61,84,26
2017-12-31,72,35,53,78,17
2018-01-07,67,26,55,76,25
2018-01-14,69,25,53,78,35
2018-01-21,62,26,58,82,76
2018-01-28,62,27,58,88,29
2018-02-04,61,27,53,77,100
2018-02-11,59,25,55,75,13
2018-02-18,62,27,57,76,10
2018-02-25,59,87,56,74,10
2018-03-04,58,45,63,78,12
2018-03-11,57,40,60,83,13
2018-03-18,64,34,61,77,11
2018-03-25,60,30,60,79,10
2018-04-01,62,28,56,73,9
2018-04-08,59,29,55,75,10
2018-04-15,62,29,58,85,11
2018-04-22,64,33,55,85,14
2018-04-29,58,33,53,75,11
2018-05-06,61,34,54,78,9
2018-05-13,95,50,51,73,9
2018-05-20,96,56,52,75,9
2018-05-27,71,44,54,76,9
2018-06-03,67,49,51,75,12
2018-06-10,71,42,59,73,10
2018-06-17,65,45,51,65,9
2018-06-24,64,43,53,69,8
2018-07-01,66,46,52,67,7
2018-07-08,75,44,53,75,7
2018-07-15,82,26,56,75,9
2018-07-22,67,32,55,73,9
2018-07-29,69,27,55,71,9
2018-08-05,70,26,56,76,14
2018-08-12,73,27,58,74,13
2018-08-19,66,27,58,74,14
2018-08-26,59,24,53,70,13
2018-09-02,63,25,56,74,35
2018-09-09,58,27,54,72,13
2018-09-16,59,27,51,75,21
2018-09-23,57,26,56,71,23
2018-09-30,60,25,55,70,21
2018-10-07,64,23,51,96,31
2018-10-14,66,24,51,86,13
2018-10-21,69,26,52,79,18
2018-10-28,92,26,52,79,19
2018-11-04,100,28,55,79,12
2018-11-11,95,27,54,85,21
2018-11-18,91,51,55,83,16
2018-11-25,82,68,53,78,16
2018-12-02,84,39,52,76,21
2018-12-09,77,33,52,75,22
2018-12-16,76,33,52,72,22
2018-12-23,92,34,61,80,24
2018-12-30,91,35,59,79,27
2019-01-06,84,30,61,76,40
2019-01-13,81,31,60,72,40
2019-01-20,83,28,56,73,9
2019-01-27,81,27,51,75,8
2019-02-03,74,29,53,75,8
2019-02-10,80,37,60,70,7
2019-02-17,84,31,64,67,7
2019-02-24,100,38,57,71,8
2019-03-03,82,29,54,70,9
2019-03-10,77,28,54,64,13
2019-03-17,81,27,53,66,9
2019-03-24,71,44,53,71,9
2019-03-31,70,49,57,66,10
2019-04-07,69,32,50,63,8
2019-04-14,69,34,50,68,10
2019-04-21,71,31,50,64,11
2019-04-28,72,30,51,62,9
2019-05-05,72,29,50,64,8
2019-05-12,74,39,54,65,9
2019-05-19,70,33,49,65,8
2019-05-26,71,30,48,64,8
2019-06-02,75,31,46,66,9
2019-06-09,73,33,49,66,8
2019-06-16,73,45,49,67,9
2019-06-23,71,55,49,67,8
2019-06-30,73,48,52,66,7
2019-07-07,71,43,56,65,8
2019-07-14,76,45,54,74,7
2019-07-21,73,44,54,67,8
2019-07-28,71,45,52,68,9
2019-08-04,69,43,49,65,14
2019-08-11,71,43,53,69,12
2019-08-18,69,48,55,73,13
2019-08-25,69,45,50,72,13
2019-09-01,66,30,52,67,15
2019-09-08,68,27,50,67,23
2019-09-15,63,27,50,63,24
2019-09-22,66,25,52,66,33
2019-09-29,68,25,50,70,14
2019-10-06,63,24,49,70,19
2019-10-13,63,25,47,66,19
2019-10-20,64,26,51,69,27
2019-10-27,65,24,43,63,19
2019-11-03,63,24,45,66,18
2019-11-10,66,25,45,72,13
2019-11-17,85,27,46,68,23
2019-11-24,84,25,41,73,17
2019-12-01,87,26,45,72,18
2019-12-08,72,25,46,68,24
2019-12-15,74,27,47,67,19
2019-12-22,82,29,52,74,29
2019-12-29,80,32,52,72,36
2020-01-05,76,24,46,63,31
2020-01-12,80,27,54,62,9
2020-01-19,74,25,49,64,8
2020-01-26,67,24,43,64,7
2020-02-02,67,46,48,65,9
2020-02-09,66,52,44,64,8
2020-02-16,70,36,45,65,7
2020-02-23,66,28,46,64,8
2020-03-01,65,27,42,72,8
2020-03-08,63,27,50,65,6
2020-03-15,58,27,40,60,10
2020-03-22,73,26,45,66,8
2020-03-29,74,32,49,69,7
2020-04-05,85,29,49,77,7
2020-04-12,73,36,54,82,7
2020-04-19,77,94,60,87,13
2020-04-26,72,45,57,87,9
2020-05-03,76,39,56,76,8
2020-05-10,75,37,52,74,7
2020-05-17,70,33,53,80,7
2020-05-24,79,31,59,69,6
2020-05-31,76,28,53,76,6
2020-06-07,83,32,46,70,6
2020-06-14,71,28,46,68,6
2020-06-21,74,34,47,66,6
2020-06-28,74,36,48,62,6
2020-07-05,75,32,43,64,9
2020-07-12,73,31,53,63,7
2020-07-19,72,35,47,61,6
2020-07-26,74,29,48,75,7
2020-08-02,71,28,46,64,6
2020-08-09,67,27,46,61,6
2020-08-16,68,26,46,61,6
2020-08-23,63,25,43,57,6
2020-08-30,66,28,45,59,7
2020-09-06,66,30,48,66,10
2020-09-13,66,25,45,60,16
2020-09-20,62,28,44,58,14
2020-09-27,60,24,41,57,16
2020-10-04,60,25,50,56,17
2020-10-11,57,24,41,53,15
2020-10-18,57,22,43,54,23
2020-10-25,62,21,40,50,9
2020-11-01,56,20,35,47,16
2020-11-08,66,24,38,50,10
2020-11-15,86,25,39,57,11
2020-11-22,90,24,39,56,11
2020-11-29,75,22,41,54,14
2020-12-06,74,23,41,54,13
2020-12-13,75,25,39,52,15
2020-12-20,81,25,43,58,15
2020-12-27,99,29,47,69,16
